,United States,"Albuquerque, NM","Las Cruces, NM","Santa Fe, NM","Farmington, NM"
2012-01-31,911.438992918041,903.4843100440336,839.0299071585313,1312.9849074484591,766.7936164454368
2012-02-29,909.7455547474854,900.012643666662,836.6272854008988,1305.9076281026769,763.2313991132094
2012-03-31,915.6328140700224,903.5240013069124,843.1279585644388,1307.8519064842976,768.6601055215053
2012-04-30,914.5533569475988,898.523793801447,842.8588517014686,1296.218905734311,767.5969240859272
2012-05-31,909.0266228826224,888.1522380140077,837.3993370460661,1280.6754450029828,761.9213779869024
2012-06-30,903.1689707855114,877.5910059708594,830.9073462725837,1266.6113396927797,754.1762005755342
2012-07-31,897.4325309802288,866.9441466208534,823.9497554464235,1255.423054553514,748.187409693475
2012-08-31,903.8314615566331,869.3558517953503,828.1685427022869,1264.1705129628044,755.0355927490557
2012-09-30,899.4481292553668,860.8821013685941,818.5014546647892,1254.2460015025126,753.5044068918768
2012-10-31,894.5555985830919,852.7366249160025,806.8216572977012,1244.077901072891,752.1448944543245
2012-11-30,896.2171248873595,852.295197522957,802.5212272770899,1246.114494331132,755.3008338543401
2012-12-31,899.7089737982625,854.315981546315,800.4465714588714,1251.187474864114,760.3792566243116
2013-01-31,893.8882007962472,862.015965091557,805.8509590090878,1259.1184430453573,763.7390604593801
2013-02-28,907.398844792041,873.0988276496442,812.2029182093653,1269.3196627345158,767.8325116723171
2013-03-31,914.9759937120352,878.4517259527504,812.6864460805471,1269.653990655224,766.3409527368723
2013-04-30,911.7627154143496,872.7476889470008,802.2045543222885,1257.2670362999845,760.6983498077745
2013-05-31,924.9728925511864,882.0309091700783,809.8790353908556,1276.7881423136446,772.7780211452938
2013-06-30,972.8901633301962,923.9488416129766,853.2422898195906,1353.00402203228,811.058339970021
2013-07-31,1003.4069330909708,947.7682306501024,879.4097147606846,1399.4486294104488,825.3596708555983
2013-08-31,1017.1792889176324,955.5143805657372,887.7618922062189,1417.3218834138058,826.1418933516477
2013-09-30,1026.2668096397372,958.2580294734022,888.6916643870657,1424.8628166356689,827.6857735931638
2013-10-31,1009.1149664742372,935.6967423484562,864.3094474288241,1388.0463769316598,811.8453232413408
2013-11-30,1019.8671895058905,940.1066892964368,866.8095170163795,1393.6034915438972,820.7748013671113
