,United States,"Albuquerque, NM","Las Cruces, NM","Santa Fe, NM","Farmington, NM"
2012-01-31,36331.54655058151,36085.35388629496,33492.7854118611,52028.83279418758,30413.051973570196
2012-02-29,36264.09592804851,35946.70602241185,33396.90098150071,51748.57637298402,30271.890686961997
2012-03-31,36498.72068315833,36086.92872439224,33656.372566242404,51825.594058832605,30487.0883227646
2012-04-30,36455.7372443924,35887.237558327826,33645.6430249783,51364.94518561701,30444.99507322893
2012-05-31,36235.54130430584,35473.038471269916,33427.75024731045,50749.409823515656,30220.097179752644
2012-06-30,36002.15816373574,35051.26472944597,33168.648100593986,50192.44662458841,29913.20394472809
2012-07-31,35773.606108841544,34626.071243086946,32890.962936140844,49749.41030165998,29675.932294758364
2012-08-31,36028.620122934095,34722.37871858702,33059.35810737637,50095.92699581952,29947.34659198924
2012-09-30,35853.98522886101,34383.96970408582,32673.52899750767,49702.89224163893,29886.935285556483
2012-10-31,35659.061024300194,34058.67032052283,32207.367435467713,49300.52082217644,29833.07509947635
2012-11-30,35725.29983569151,34041.03654744907,32035.73657409505,49381.19455329876,29958.1646313964
2012-12-31,35864.47376963246,34121.732371611244,31952.942927404016,49582.12159300401,30159.44382844094
2013-01-31,35632.696611199644,34429.256537120615,32168.6775712728,49896.373298585015,30292.819552693025
2013-02-28,36171.11226970024,34871.87579754733,32422.229483236995,50300.521403387895,30455.081794604175
2013-03-31,36473.09703632116,35085.66782205125,32441.558930235133,50313.91520028147,30395.979803727576
2013-04-30,36345.10699349959,34857.894368996574,32023.22699613134,49823.48944600662,30172.4818278593
2013-05-31,36871.55530004179,35228.64596266563,32329.56738644845,50596.757836604935,30651.38687760357
2013-06-30,38780.99886083501,36902.6820711822,34060.34500375934,53615.36534559102,32168.5040186549
2013-07-31,39997.074487633465,37853.9435673025,35104.79022105943,55454.914096620465,32735.375695494105
2013-08-31,40545.924257906205,38163.311412223935,35438.179358753725,56162.9208330344,32766.450614536716
2013-09-30,40908.092430930614,38272.90094581783,35475.31867332842,56461.720627868664,32827.768042071286
2013-10-31,40224.68511345882,37371.92461098734,34502.18708158463,55003.79264692703,32200.004777780276
2013-11-30,40653.18758503046,37548.05867396944,34602.00133335048,55224.02514126561,32553.903894632276
2013-12-31,41524.12900613205,38192.007129309946,35144.90683389783,56210.27537236691,33306.56810588043
2014-01-31,41198.03681961548,38022.99758773535,35022.538220585426,56464.91386206658,33396.77807633698
2014-02-28,40966.413657275734,37733.7945990125,34538.375964571445,56097.38558426657,32977.01718823775
2014-03-31,41296.037145712304,37972.30865482176,34527.649905719794,56654.43793891623,32956.73927181136
2014-04-30,41477.447354452444,38080.91185296469,34415.567112016906,56990.478550939784,32897.589780270144
2014-05-31,41216.98052344567,37765.344860550314,34063.09716672516,56758.17461365492,32658.176760255436
2014-06-30,41316.594183676,37738.89581060806,34138.1807652622,57058.700451937235,32853.65280924951
2014-07-31,41402.65151258129,37646.23142870472,34210.66192461064,57260.28967153964,33077.641714951926
2014-08-31,41504.57898125278,37545.58494632972,34166.23363334578,57284.18923783674,33242.0546224731
2014-09-30,41807.229552968856,37656.095078901846,34234.02270688782,57628.95733190629,33606.66763024042
2014-10-31,41481.837373270195,37228.904925012714,33704.61087980361,57112.890523360526,33576.682306381765
2014-11-30,41476.909343369734,37142.7287534041,33508.14535650974,57026.10517960267,33958.14752855328
2014-12-31,41178.54855904073,36815.65313663988,33059.57379288724,56329.4336286092,34034.40019370012
2015-01-31,40329.241469906,186869.7912763322,32708.9601370144,55294.64997433478,33693.99521526439
