,United States,"Albuquerque, NM","Las Cruces, NM","Santa Fe, NM","Farmington, NM"
2015-01-31,47645.04772060677,36095.92676661168,32885.945041318984,,
2015-02-28,47863.97300170118,35985.7836490116,32698.11122136164,,
2015-03-31,48100.713603218566,36117.374481892744,32819.94456538426,,
2015-04-30,48294.55896159869,36254.944666295865,32965.60087883039,,
2015-05-31,48472.31703570329,36421.23942055367,33137.96609367252,,
2015-06-30,48634.4228799768,36434.37321453322,33110.530889342954,,
2015-07-31,48819.525249677354,36478.218986990425,33184.3808097278,,
2015-08-31,49023.53626767074,36540.990198981395,33270.638913999224,,
2015-09-30,49240.76001242902,36620.49637606248,33359.203472856854,,
2015-10-31,49452.74173410786,36751.64919338641,33492.24487283459,,
2015-11-30,49651.85889452485,36775.33362536123,33618.57430913932,,
2015-12-31,49831.262657710955,36935.74277278497,33700.218080766965,,
2016-01-31,49977.42495516161,36976.81914020223,33642.50441326119,,
2016-02-29,50107.09589152544,36996.09083024675,33698.33858103269,44873.62777826365,
2016-03-31,50191.8679901731,37015.87533602703,33631.22598100369,44867.005278894336,
2016-04-30,50327.16320470616,37183.73642974576,33594.73064708119,43725.616410381066,
2016-05-31,50469.78849496474,37321.10858680618,33751.36253527264,43284.878713499376,
2016-06-30,50657.49626856132,37349.32873867954,33899.39023891969,42981.91426323256,
2016-07-31,50811.96990167779,37320.84014081748,34088.43393667939,44826.96930345806,
2016-08-31,50971.96027922469,37476.59041209608,33986.15369686258,44987.17616253619,
2016-09-30,51121.27396511171,37547.97751686899,34115.05916630078,46050.91598280093,
2016-10-31,51271.39068788415,37574.01032675093,34176.631002269016,46274.62113463294,
2016-11-30,51410.23147182184,37653.50665501888,34329.83616243496,47159.36328859675,
2016-12-31,51538.49033482298,37695.48448903351,34377.40663128415,46750.026297314136,
2017-01-31,51732.69796491891,37906.6007501318,34451.15615083932,47833.85389591246,
2017-02-28,51951.55927278751,38098.853902134426,34413.643745887064,47691.59441889372,
2017-03-31,52227.03493072895,38296.6919792,34527.57632136452,49153.14373992905,
2017-04-30,52427.473091930406,38274.566148826576,34649.61595391481,48689.48060724475,
2017-05-31,52620.0119688863,38317.78389014453,34790.58770308836,48957.224320019464,
2017-06-30,52774.84334918539,38445.03009187761,34808.81535575194,48625.68689205054,
2017-07-31,52936.86195117174,38585.15087830952,34763.218199759365,48519.99397351791,
2017-08-31,53077.795815044694,38601.56263796426,34941.34813157861,48751.34954990755,
2017-09-30,53261.90952051598,38705.45442545479,35030.27799724992,49344.30850025748,
2017-10-31,53424.69959226526,38856.324623323555,35083.62556116217,49937.96197678934,
2017-11-30,53609.952933670625,38961.14294000984,35083.086045226104,50325.17339480033,
2017-12-31,53798.15573250729,39040.37398017928,35084.66274584665,50088.61182972257,
2018-01-31,53993.220838036126,39088.20753775741,35357.05942953651,49524.54972914372,
2018-02-28,54198.10729902182,39224.5124225362,35528.03222486796,49766.020496221136,
2018-03-31,54365.71643030454,39337.85687505111,35699.13719268677,50453.50473116973,
2018-04-30,54550.13687607347,39523.596134187675,35793.813056086954,51910.69217147667,
2018-05-31,54701.61503411724,39622.308442905334,35765.66395378882,52539.20662358699,
2018-06-30,54881.475619552984,39669.46161840066,35956.349172918046,53072.13277204861,
2018-07-31,55068.09051568023,39738.4288926186,35916.60845653736,52790.405211011144,
2018-08-31,55276.36646656397,39885.75076057709,36006.44484877731,53239.02820146231,
2018-09-30,55447.22448092244,40055.69510696739,35886.57585715565,53206.90495273716,
2018-10-31,55652.03649475904,40234.471517166196,36015.04459392227,53507.24719823511,
2018-11-30,55877.262299440896,40384.764291007865,36193.75866022106,53916.30431031173,
2018-12-31,56102.22058839379,40601.371349025736,36432.465689787445,54954.35575388153,
2019-01-31,56275.149770178665,40693.893948092,36596.46504902702,55636.557948904374,
2019-02-28,56418.42364513406,40863.187293424206,36626.85955214323,55680.331752908896,
2019-03-31,56589.8390174394,40995.62255240237,36701.946158135324,55210.48169394067,
2019-04-30,56778.34345961435,41156.47521361741,36830.520540410565,55370.68447548825,
2019-05-31,56997.75811815249,41366.0548186842,37008.394495023014,55700.52145240266,
2019-06-30,57206.21156135865,41608.29104081524,37091.741170514346,56367.0665389005,
2019-07-31,57413.320135882415,41845.76550024416,37380.37518325969,57130.33203994117,
2019-08-31,57613.191340726895,42051.22788320735,37524.05728372368,57547.15981901639,
2019-09-30,57823.304909353166,42219.46571944768,37833.21914885163,57992.98763959379,
2019-10-31,58018.51679612065,42372.749321202755,37984.536546882766,58370.61298146666,
2019-11-30,58190.754564743744,42573.26276241429,38112.32432834658,58639.30152307766,
2019-12-31,58366.52119243234,42747.32951654383,38222.10967116748,59059.81298605486,
2020-01-31,58569.077583785234,43012.63115768505,38261.135498734286,59646.22146806064,
2020-02-29,58787.5157515106,43185.44859301385,38482.986565163716,60616.284003902816,
2020-03-31,58963.86600569616,43383.94509976359,38871.40880546779,59655.33600704044,
2020-04-30,58863.49833531565,43277.75833304516,39168.6274896871,59117.584407429094,
2020-05-31,58673.9425577324,43118.161239697525,39145.603347642114,58330.55579983789,
2020-06-30,58509.66672652392,43285.52241928353,39000.985573090584,58110.13192813272,
2020-07-31,58524.36283197941,43616.05370934854,39055.47513213503,57716.13319573155,
2020-08-31,58527.132561122104,44042.49087997636,39577.825202250926,58173.728137178514,
2020-09-30,58555.51490718698,44468.00984073235,40170.99190141037,57883.89306635805,
2020-10-31,58697.14643860041,44900.23746638655,40792.29939393651,59096.59969834434,
2020-11-30,58932.19789685968,45412.60796116588,41393.241953989775,59738.9503673105,
2020-12-31,59235.605060809845,45771.21055219834,41565.65688470466,60454.99669842198,
2021-01-31,59607.792083488705,46172.98368521404,41680.836148568815,60741.40202619413,
2021-02-28,60015.50882197098,46665.01947441632,41706.8326112393,60835.715261642865,
2021-03-31,60493.95973450251,47262.05256382428,41697.12508995884,61152.46883213785,
2021-04-30,61137.963136040686,48067.19578707251,42177.29322794908,61317.71724563946,
2021-05-31,61973.87016685698,48895.1430762611,42631.44559603062,62223.7546204118,
2021-06-30,62935.067826594925,49693.43774033869,43549.09870807716,63367.54135057705,
2021-07-31,63927.34866816163,50464.70242771034,43872.298062388385,65404.764390651704,
2021-08-31,64995.11254554656,51372.146981514816,44706.04142814272,66872.76414034035,
2021-09-30,66051.85740774234,52225.053882684784,45295.96065404576,68033.96044015676,
2021-10-31,66958.28808959172,52775.42546261686,45802.30125578221,68227.88534737434,
2021-11-30,67730.33590716642,53009.67650780519,45942.16614742669,68798.29679766287,
2021-12-31,68417.61011556356,53676.19896655647,46311.98801909731,69361.85572954422,
2022-01-31,68998.79956668882,54149.12699771709,47078.29428504927,70028.53459971694,
2022-02-28,69555.94011833334,54842.53803459256,47834.82041523904,70808.06733415712,
2022-03-31,70015.3922941767,55171.19676194481,48714.0665261344,71828.10060795675,
2022-04-30,70640.64419145708,55842.26613250168,49259.766221657286,73063.10675379017,
2022-05-31,71219.21886079652,56618.063224829966,49663.57542146713,73342.97008108032,
2022-06-30,71837.19692362394,57192.09286827124,49793.07144574122,73520.4562972256,
2022-07-31,72303.2142392727,57717.84973300216,50071.28223573901,73156.10154737717,
2022-08-31,72644.08694625039,57798.8951879817,49966.94478028983,73691.2587714905,
2022-09-30,72880.26703516206,58032.299535221784,49646.8322463736,74089.66169695853,
2022-10-31,73057.36332613725,58339.82490906679,49580.80698204601,74667.02986993693,
2022-11-30,73233.32231344971,58840.71959975035,50071.4724503122,74883.48447508443,
2022-12-31,73455.32856125994,59011.50524628607,50985.51500889417,75889.09820856713,
2023-01-31,73670.82744211034,59391.98509142255,51901.95393875667,76866.38450114115,
2023-02-28,73881.03052405515,59374.72740532488,52157.881075025616,76960.65536988931,
2023-03-31,74167.99014077998,59857.16518522198,52081.036471939355,77096.70291895584,
2023-04-30,74354.50186620805,59835.626587505685,51692.229548485906,77695.34465323754,39320.25505648961
2023-05-31,74545.83471634053,60154.89799058672,52221.60514498795,79017.44981925868,40210.155867563946
2023-06-30,74606.32550300192,60212.466960440666,52441.17771710824,79635.2257874463,40568.60812278631
2023-07-31,74758.60458258966,60421.34342582667,53267.641537772506,79028.81066225945,41102.292330246455
2023-08-31,74937.3955244403,60609.42976159043,53429.477579250626,78824.96916957088,41547.06451223253
2023-09-30,75142.99389761439,60773.8321230782,54002.35700470336,78983.22786168689,41902.87337999209
2023-10-31,75385.54270258485,61052.851311548584,54197.65394842175,79901.51552396918,42983.942105550756
2023-11-30,75593.27826551888,61447.35165683725,54607.59575796003,80121.79074102633,43281.25177705386
2023-12-31,75834.32476576355,61708.61582504541,54370.205335793995,80155.96515557417,43698.19317616367
2024-01-31,76075.66980993198,61738.94560360304,54011.55521025992,79820.21932650797,43207.78318786919
2024-02-29,76360.74244710914,62084.93978663924,54128.95164673051,80314.03545456973,43460.82502325718
2024-03-31,76602.68868819009,62183.74449251554,54437.40881573502,80608.32657197591,43008.11241337665
2024-04-30,76790.5105653047,62431.54965812111,55034.60646565224,80476.88629070223,43805.26854969498
2024-05-31,76943.22911977298,62338.13611495235,54979.644734735026,80093.40641689536,43820.7569866941
2024-06-30,77137.46275422584,62532.204120590715,55177.25693313517,80221.8444727826,43943.55904816165
2024-07-31,77315.87388660412,62614.925815194416,54928.4971055268,81330.81100557956,44042.04248070559
2024-08-31,77510.98369913863,62881.22896207036,55225.65130883989,81778.35012482529,44092.36584510377
2024-09-30,77729.93543341143,63078.84671213414,55341.736588963686,82102.78815937809,44863.47428633027
2024-10-31,77968.24177452028,63193.55797371575,55609.49254098812,81892.8383192131,44365.52207159875
2024-11-30,78247.39395012034,63162.78461008705,55484.0123326434,82330.34945838113,44481.58440063609
2024-12-31,78479.90842558452,63280.94647661915,55578.668287539906,82500.13122852467,44376.128583679616
2025-01-31,78721.61800530067,63487.71865418712,55663.24271284271,82959.97613197613,45377.777777777774
