,United States,New Mexico,"Albuquerque, NM","Las Cruces, NM","Santa Fe, NM","Farmington, NM","Gallup, NM","Hobbs, NM","Alamogordo, NM","Roswell, NM","Carlsbad, NM","Clovis, NM","Espa-¦ola, NM","Taos, NM","Las Vegas, NM","Silver City, NM","Grants, NM","Deming, NM","Portales, NM","Los Alamos, NM"
1/31/00,120451.3458406423,,,,,,,,,,,,,,,,,,,
2/29/00,120656.81795780425,,,,,,,,,,,,,,,,,,,
3/31/00,120911.75749241337,,,,,,,,,,,,,,,,,,,
4/30/00,121459.28003445586,,,,,,,,,,,,,,,,,,,
5/31/00,122089.50734502025,,,,,,,,,,,,,,,,,,,
6/30/00,122764.94520843396,,,,,,,,,,,,,,,,,,,
7/31/00,123479.1404515858,,,,,,,,,,,,,,,,,,,
8/31/00,124251.2388150321,,,,,,,,,,,,,,,,,,,
9/30/00,125055.37096100324,,,,,,,,,,,,,,,,,,,
10/31/00,125863.93568664398,,,,,,,,,,,,,,,,,,,
11/30/00,126669.86566260686,,,,,,,,,,,,,,,,,,,
12/31/00,127476.22077473336,,,,,,,,,,,,,,,,,,,
1/31/01,128218.75012617256,,,,,,,,,,,,,,,,,,,
2/28/01,128871.2107,,,,,,,,,,,,,,,,,,,
3/31/01,129496.16851537992,,,,,,,,,,,,,,,,,,,
4/30/01,130166.57965257228,,,,,,,,,,,,,,,,,,,
5/31/01,130892.19427845196,,,,,,,,,,,,,,,,,,,
6/30/01,131639.82146454722,,,,,,,,,,,,,,,,,,,
7/31/01,132410.03939612512,,,,,,,,,,,,,,,,,,,
8/31/01,133215.1504243034,,,,,,,,,,,,,,,,,,,
9/30/01,134026.76764488744,,,,,,,,,,,,,,,,,,,
10/31/01,134834.51726946735,,,,,,,,,,,,,,,,,,,
11/30/01,135586.66707735302,,,,,,,,,,,,,,,,,,,
12/31/01,136291.21150909664,,,,,,,,,,,,,,,,,,,
1/31/02,136915.1114174974,,,,,,,,,,,,,,,,,,,
2/28/02,137511.2809211278,,,,,,,,,,,,,,,,,,,
3/31/02,138118.2757204495,,,,,,,,,,,,,,,,,,,
4/30/02,138775.7109585878,130728.88418813449,,149542.44144390963,,,,,,,,,,,,,,,,
5/31/02,139502.19952698282,130954.73815434866,,149726.57205121312,221036.67181834276,,,,,,,,,,,,,,,
6/30/02,140290.92705372654,131050.75945143485,136671.51543254024,149830.72049815572,221470.9452857512,,,,,,,,,,,,,,,
7/31/02,141156.73020046527,131386.63605842376,136938.3070273151,150053.82649165264,222200.53009894388,,,,,,,,,,,,,,,
8/31/02,142081.56493855067,131752.1537999004,137217.54616786214,150238.98744209213,223393.7875864324,,,,,,,,,,,,,,,
9/30/02,143017.79133469638,132194.71250339845,137647.65973446367,150748.9204513867,224753.80214699436,,,,,,,,,,,,,,,
10/31/02,143954.14608419154,132586.58566691246,138029.16374599424,151282.50923186677,225863.7644,,,,,,,,,,,,,,,
11/30/02,144845.38418342845,132945.57685204688,138391.6948867972,151754.0834903246,227031.44951740175,,,,,,,,,,,,,,,
12/31/02,145711.9265012172,133261.86284024207,138744.14527715338,151884.58276804115,228006.24090259345,,,,,,,,,,,,,,,
1/31/03,146494.79111429496,133581.90973403942,139087.1533071423,152164.53408918783,228961.2177685883,,,,,,,,,,,,,,,
2/28/03,147241.91173710686,133824.36347000813,139312.8358911583,152596.69733487393,229929.75287853184,,,,,,,,,,,,,,,
3/31/03,147985.85071480004,134008.31745822766,139501.5264,152760.86292228696,231062.15000064872,,,,,,,,,,,,,,,
4/30/03,148796.07846292897,134135.21266234375,139585.6509193793,153215.23572896302,232260.4431871491,,,,,,,,,,,,,,,
